,amount,floor_number,rooms_number,size,month,year,Wartość
451,556058.95,2,2,44.78,9,2025,2.9000000000000057
452,710628.81,4,3,54.04,9,2025,2.9000000000000057
453,1032103.53,1,4,75.47,9,2025,2.9000000000000057
454,1222538.62,4,4,89.23,9,2025,2.9000000000000057
455,549991.4,5,2,37.39,9,2025,2.9000000000000057
456,768274.07,3,3,58.07,9,2025,2.9000000000000057
457,862082.38,5,3,59.24,9,2025,2.9000000000000057
458,841566.98,5,3,51.64,9,2025,2.9000000000000057
459,922763.0,6,3,65.51,9,2025,2.9000000000000057
460,607658.87,5,3,49.12,9,2025,2.9000000000000057
461,637492.08,7,2,45.71,9,2025,2.9000000000000057
462,566564.0,1,2,39.04,9,2025,2.9000000000000057
463,699568.0,6,3,53.29,9,2025,2.9000000000000057
464,836430.6,2,3,60.69,9,2025,2.9000000000000057
465,548574.6,7,2,35.14,9,2025,2.9000000000000057
466,632802.67,7,2,40.55,9,2025,2.9000000000000057
467,703564.87,8,3,45.21,9,2025,2.9000000000000057
468,742473.22,2,3,46.99,9,2025,2.9000000000000057
469,785509.32,1,3,56.01,9,2025,2.9000000000000057
470,864996.03,4,4,62.76,9,2025,2.9000000000000057
471,526974.5,1,1,32.63,9,2025,2.9000000000000057
472,821263.0,5,2,39.53,9,2025,2.9000000000000057
473,510269.6,3,1,29.7,9,2025,2.9000000000000057
474,780000.0,2,3,49.6,9,2025,2.9000000000000057
475,664500.0,3,3,47.82,11,2024,4.700000000000003
476,1100000.0,2,3,66.18,9,2025,2.9000000000000057
477,889931.29,7,3,53.7,9,2025,2.9000000000000057
478,725702.75,6,3,53.89,9,2025,2.9000000000000057
479,835000.0,2,3,66.41,9,2025,2.9000000000000057
480,913100.0,1,3,67.25,9,2025,2.9000000000000057
481,917390.71,6,3,69.72,9,2025,2.9000000000000057
482,1155716.35,4,4,90.89,9,2025,2.9000000000000057
483,1114738.48,4,4,89.82,9,2025,2.9000000000000057
484,571477.19,4,2,42.83,9,2025,2.9000000000000057
485,895588.67,3,4,70.64,9,2025,2.9000000000000057
486,570803.95,7,2,46.49,9,2025,2.9000000000000057
487,737749.53,3,2,47.51,9,2025,2.9000000000000057
